,id,airport_ref,airport_ident,type,description,frequency_mhz
3088,58519,2450,EGNX,APP,APP,134.175
3089,58520,2450,EGNX,ATIS,ATIS,122.675
3090,302153,2450,EGNX,Fire service,,121.6
3091,58521,2450,EGNX,GND,GND,121.9
3092,58522,2450,EGNX,TWR,TWR,124.0
3093,71908,29168,EGNY,A/G,Beverley Linley Hill A/G,123.05
3094,58165,2451,EGOD,CAC,LONDON MIL,29.252
3095,58166,2451,EGOD,TWR,TWR,118.93
3096,58339,2452,EGOE,APP,SHAWBURY APP,28.2
3097,58340,2452,EGOE,GND,GND,27.901999999999997
3098,58341,2452,EGOE,TWR,TWR,122.1
3099,58267,3073,EGOQ,APP,VALLEY APP,122.225
3100,58268,3073,EGOQ,RDO,RDO,118.95
3101,58269,3073,EGOQ,RDR,RDR,125.225
3102,58270,3073,EGOQ,TWR,TWR,119.75
3103,58255,2453,EGOS,APP,APP,126.5
3104,58256,2453,EGOS,ATIS,ATIS,28.427
3105,58257,2453,EGOS,DIR,DIRECTOR,123.3
3106,58258,2453,EGOS,GND,GND,38.945
3108,58260,2453,EGOS,OPS,OPS,36.912
3109,58261,2453,EGOS,TWR,TWR,122.1
3110,58146,2454,EGOV,APP,APP,134.35
3111,58147,2454,EGOV,ATIS,ATIS,120.725
3112,58148,2454,EGOV,GND,GND,122.1
3113,58149,2454,EGOV,RDR,RADAR,125.225
3114,58150,2454,EGOV,TWR,TWR,122.1
3115,58451,2455,EGOW,A/G,RDO,121.0
3116,58452,2455,EGOW,APP,APP,121.0
3117,307886,2455,EGOW,APP,,282.57
3118,58453,2455,EGOW,TWR,TWR,119.75
